name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[146452.3798855275, 163371.725858845, 138178.51665989167, 149633.49911903014, 169930.8119891814, 160077.0664875243]"
elevation,"[90.34154510498047, 73.14075469970703, 62.29736709594727, 95.83670806884766, 86.79325866699219, 77.07868957519531, 112.5148010253906, 95.88567352294922, 81.56317901611328, 115.5641632080078, 94.25721740722656, 81.75701141357422, 96.21031188964844, 90.31078338623047, 94.8521957397461, 89.96885681152344]"
color,green
