name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[166906.51373652808, 159757.1676900947, 140103.39596095702, 163070.06400748924, 148812.42571230544, 148994.43289262554]"
elevation,"[93.31428527832031, 78.91624450683594, 74.5992660522461, 82.93922424316406, 65.6411361694336, 80.49168395996094, 63.8621711730957, 86.62735748291016, 92.57317352294922, 93.4905776977539, 84.03461456298828, 90.31078338623047, 93.76292419433594, 108.2659912109375, 94.19943237304688, 94.25721740722656]"
color,green
