name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[153474.38463538684, 169750.29161579337, 152316.1584812703, 144855.2336857395, 148243.1808743136, 159004.75070749642]"
elevation,"[72.10433959960938, 84.51054382324219, 90.39002990722656, 99.78315734863281, 96.777587890625, 93.31404876708984, 66.77657318115234, 63.46337890625, 68.06573486328125, 90.80284118652344, 90.31078338623047, 81.75701141357422, 94.19943237304688, 93.76292419433594, 94.25721740722656, 108.2659912109375]"
color,green
