name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[9543.155002023577, 28158.124652199327, 36933.31827615354, 29987.187993062555, 42868.16113718442, 16530.64420062259, 15192.22754039826, 19668.85528321917, 10996.92957460269, 34533.51552417771, 29125.57007522926, 21198.528127034384, 22722.641801550337, 36522.16807903794, 1.5873750863979326, 30778.15252553793, 27346.80453984993, 2372.0227753351505, 35379.49256305918, 31886.13852689357, 28638.85013317556, 33259.68194050805, 29869.836405796625, 16798.25102435973, 24671.34203037186, 17322.84188308369, 30805.85635994214, 23764.072082437633, 25640.54324404947, 34867.10938048308, 36463.042954951365, 23222.360565462786, 12453.6186418272, 43304.279993228105, 22256.01186981844, 12441.569239145305, 30119.50667910099]"
elevation,"[112.9308853149414, 83.68351745605469, 83.61251831054688, 87.83121490478516, 87.81790161132812, 102.5439147949219, 103.1723175048828, 77.00885009765625, 88.21559143066406, 98.62013244628906, 92.76241302490234, 88.5103530883789, 92.36569213867188, 79.42804718017578, 83.42646026611328, 87.85554504394531, 108.5392761230469, 124.8601760864258, 115.0976181030273, 80.11135864257812, 84.40918731689453, 108.9929885864258, 72.61418914794922, 81.0790786743164, 105.8269195556641, 114.7867431640625, 72.75167083740234, 96.69680786132812, 74.01038360595703, 82.53704071044922, 90.02320861816406, 78.3711929321289, 94.16468811035156, 94.4058609008789, 89.75397491455078, 101.7726287841797, 82.14065551757812, 59.42340850830078, 91.11550903320312, 107.7352676391602, 67.71721649169922, 72.90147399902344, 107.2673797607422, 96.2858657836914, 74.99665832519531, 88.36351776123047, 68.93382263183594, 94.0855484008789, 92.8774185180664, 105.8801193237305, 108.0956726074219, 91.22756958007812, 81.57343292236328, 94.63480377197266, 101.4721221923828, 63.99348068237305, 112.7855834960938, 78.59162139892578, 98.78909301757812, 72.3897705078125]"
color,red
