name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[167647.64676652415, 154938.00418798014, 165264.05630479226, 148747.76084829614, 159729.18336881947, 131317.34852358792]"
elevation,"[92.76241302490234, 64.53303527832031, 67.47417449951172, 71.5973892211914, 64.81023406982422, 71.67915344238281, 70.14896392822266, 63.46504211425781, 95.93246459960938, 83.52357482910156, 84.03461456298828, 90.31078338623047, 85.37150573730469, 94.25721740722656, 90.22052764892578, 93.76292419433594]"
color,green
