name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[169750.29161579337, 152316.1584812703, 153474.38463538684, 148243.1808743136, 159004.75070749642, 144855.2336857395]"
elevation,"[96.65864562988281, 110.6545028686523, 91.680908203125, 79.24876403808594, 82.96063232421875, 76.42375183105469, 62.67728042602539, 90.01994323730469, 117.6774291992188, 87.00989532470703, 81.75701141357422, 94.19943237304688, 90.31078338623047, 94.25721740722656, 108.2659912109375, 93.76292419433594]"
color,green
