name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[158366.1321572785, 154311.80972510466, 157702.31537304274, 145762.38355872905, 148456.9677049631, 163044.39148088184]"
elevation,"[91.290771484375, 68.62149810791016, 99.22130584716797, 66.702880859375, 75.9665298461914, 98.62013244628906, 103.4977188110352, 86.72410583496094, 114.1827545166016, 97.23838806152344, 80.71466827392578, 90.31078338623047, 85.46397399902344, 94.25721740722656, 78.73103332519531, 84.19660186767578]"
color,green
