name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[162822.2099446536, 146500.83711970493, 150575.56453008112, 138031.36828071618, 164465.94989947166, 165248.07022537256]"
elevation,"[94.70680236816406, 73.14075469970703, 72.75167083740234, 116.7226943969727, 111.8775634765625, 96.5937728881836, 73.14799499511719, 108.9227294921875, 64.40406036376953, 75.36957550048828, 81.75701141357422, 94.25721740722656, 90.31078338623047, 87.75762939453125, 89.96885681152344, 91.50196838378906]"
color,green
