name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[19750.80738884266, 27909.246584190972, 21547.97146358394, 15043.820933914689, 10202.136726808638, 13287.024461402554, 37052.45320119944, 28158.494041827347, 22791.095729569337, 38481.86850770109, 31045.38661450615, 14863.979783029095, 37812.82121827813, 2948.2876405708457, 26362.564776844505, 24977.84108629744, 39318.747264551275, 25414.183060910593, 9044.228158877546, 24262.598173497827, 30769.01202455348, 17500.60310507241, 39085.96883717324, 30506.63722974576, 28740.951919207793, 34535.230467438116, 22235.348481577566, 17677.673874472905, 43579.26851605959, 2909.7123594291534, 26713.74581288336, 37648.53197665883, 30566.86646147983, 30042.74038884261, 25127.337874565856, 35667.58786999727, 4061.2259844381497]"
elevation,"[84.17547607421875, 89.08084106445312, 121.4640579223633, 75.84325408935547, 101.5310897827148, 98.6445541381836, 116.4935302734375, 66.28761291503906, 79.65473937988281, 106.2742156982422, 100.0599517822266, 102.4877624511719, 86.56298828125, 71.5973892211914, 67.87799072265625, 73.67623901367188, 80.59698486328125, 75.65421295166016, 124.3350448608398, 87.01199340820312, 108.7133636474609, 97.69739532470703, 66.52908325195312, 91.05177307128906, 111.9920654296875, 118.9829940795898, 75.7879409790039, 92.9124755859375, 62.50058746337891, 76.6094741821289, 75.49977111816406, 89.7790756225586, 89.63301086425781, 115.4630508422852, 64.8072280883789, 91.06510162353516, 89.31659698486328, 79.84552764892578, 82.86235809326172, 75.00651550292969, 102.0068740844727, 81.42259979248047, 100.9732971191406, 101.948616027832, 63.77370452880859, 85.2865219116211, 116.5338745117188, 76.69477844238281, 105.2558975219727, 73.81196594238281, 72.77503204345703, 94.25721740722656, 87.86897277832031, 88.28096008300781, 90.4639663696289, 101.3498840332031, 83.42646026611328, 86.11946868896484, 100.879150390625, 62.4093132019043]"
color,red
