name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[165215.68232836394, 146456.45228003108, 150575.56453008112, 138178.51665989167, 165248.07022537256, 161969.7139762597]"
elevation,"[96.89311981201172, 80.46858978271484, 95.3828125, 80.98799133300781, 103.2947463989258, 88.21559143066406, 88.10594177246094, 75.79952239990234, 94.07455444335938, 118.7704086303711, 81.75701141357422, 94.25721740722656, 90.31078338623047, 96.21031188964844, 91.50196838378906, 89.96885681152344]"
color,green
