name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[152316.1584812703, 153474.38463538684, 169750.29161579337, 159004.75070749642, 148243.1808743136, 144855.2336857395]"
elevation,"[91.22756958007812, 83.38584899902344, 122.5401229858398, 107.19091796875, 92.46226501464844, 83.21397399902344, 107.972053527832, 86.72636413574219, 79.5345458984375, 87.01199340820312, 94.19943237304688, 90.31078338623047, 81.75701141357422, 108.2659912109375, 94.25721740722656, 93.76292419433594]"
color,green
