name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[34079.94091071135, 8028.393219614381, 38528.423321444105, 38340.81481096317, 42802.705322039415, 1964.3930084178073, 18635.80125295922, 20066.35972106911, 37794.68120075209, 16908.722171153808, 41591.51888529434, 11689.894115986714, 39813.8385988032, 30709.848277315825, 4399.750312858073, 35703.16021775938, 11891.581689756813, 36601.45220025767, 39009.833408581675, 36472.301457109315, 16546.591276232342, 26283.129198716855, 2414.4991686175294, 9649.142379422476, 19284.418295615164, 35746.760118557504, 8392.667073787095, 22803.43926933391, 34489.76302842791, 33072.82516976858, 24369.471868600493, 25699.549447817615, 37681.14496408261, 27329.11264654979, 26551.772914733418, 6839.504949825825, 25456.79412706341]"
elevation,"[88.81851196289062, 95.17613220214844, 77.1715316772461, 114.1827545166016, 61.61705017089844, 86.20877075195312, 95.50518798828125, 83.96570587158203, 92.65850830078125, 95.33393096923828, 104.7842864990234, 64.64205169677734, 89.00395202636719, 98.20606994628906, 66.80937194824219, 90.02320861816406, 92.15059661865234, 91.59076690673828, 76.73247528076172, 123.606086730957, 103.8424606323242, 65.91768646240234, 121.1611862182617, 93.05990600585938, 83.7535400390625, 103.6022872924805, 94.24008178710938, 88.79154968261719, 63.51457214355469, 60.38272857666016, 59.17994689941406, 87.07022094726562, 65.873291015625, 99.9918212890625, 99.55191040039062, 76.23211669921875, 92.00961303710938, 70.08653259277344, 103.1723175048828, 78.60667419433594, 112.1284790039062, 75.36957550048828, 78.73103332519531, 81.6122817993164, 118.7688369750977, 67.00320434570312, 83.7021713256836, 65.09870147705078, 84.93315887451172, 63.76694488525391, 113.3852157592773, 104.6832656860352, 95.2966537475586, 89.01040649414062, 75.72247314453125, 106.6128234863281, 91.22756958007812, 72.0140151977539, 126.4064331054688, 84.77767944335938]"
color,red
