name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[147608.09991485, 150137.63232572557, 159004.75070749642, 173131.70066241268, 152514.6647300817, 145247.1516594336]"
elevation,"[60.94126892089844, 77.97451782226562, 61.37799835205078, 91.06510162353516, 87.64222717285156, 116.0908889770508, 83.12641143798828, 63.9869270324707, 85.21012115478516, 74.11455535888672, 93.76292419433594, 94.25721740722656, 108.2659912109375, 81.75701141357422, 94.19943237304688, 90.31078338623047]"
color,green
