name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149814.99908275655, 146752.6990305611, 145318.7494249551, 162227.6401152722, 167584.421377054, 155945.49096940097]"
elevation,"[102.5439147949219, 84.81912994384766, 65.22745513916016, 66.92131805419922, 100.5392990112305, 79.43054962158203, 74.43769073486328, 121.4640579223633, 101.948616027832, 77.44755554199219, 93.05990600585938, 94.25721740722656, 94.39983367919922, 88.29743194580078, 81.75701141357422, 90.31078338623047]"
color,green
