name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[12435.560406555116, 12120.278306380718, 4049.7892219743485, 11414.891999177249, 16551.41329107716, 28226.530784090428, 24390.06420453925, 26505.380619558196, 18086.149978069952, 39568.48708318735, 21831.06352579567, 30658.260404524997, 40071.200724458766, 41344.40233013073, 35772.55312087901, 14319.82323468601, 1432.1560652142996, 34282.52193977729, 41053.23788479833, 36594.91689040113, 9035.655601152288, 20955.114425570893, 28420.04108904819, 34724.43161389902, 45963.53913872334, 37548.06372509498, 32831.7628608261, 31719.47171879715, 38875.82668774221, 28706.435535594774, 31002.733219497633, 38180.67581438254, 24693.79224259903, 34277.774311795845]"
elevation,"[80.98799133300781, 66.97697448730469, 95.38614654541016, 62.76974487304688, 97.27339172363281, 75.27442932128906, 106.4832229614258, 89.66757202148438, 118.4817581176758, 96.69680786132812, 100.9400100708008, 87.5692367553711, 100.7251586914062, 78.6712417602539, 96.79705047607422, 78.40739440917969, 74.36949157714844, 115.5641632080078, 88.502685546875, 60.66699981689453, 79.66846466064453, 77.97451782226562, 109.3318405151367, 77.65879821777344, 98.22630310058594, 94.70497131347656, 109.9710159301758, 92.66064453125, 117.8431625366211, 80.1550521850586, 67.55775451660156, 66.72494506835938, 77.44755554199219, 114.7867431640625, 117.508903503418, 60.69900131225586, 88.1275405883789, 75.54595947265625, 104.6832656860352, 115.4630508422852, 80.59698486328125, 94.60116577148438, 91.26464080810547, 94.04635620117188, 102.1387329101562, 93.84329223632812, 83.42991638183594, 76.1407699584961, 76.23091888427734]"
color,blue
