name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[143153.34078243474, 168302.66762129127, 150575.56453008112, 138439.89439483348, 161924.46244598686, 165248.07022537256]"
elevation,"[101.7583465576172, 73.4939956665039, 103.2947463989258, 106.7861099243164, 75.54595947265625, 85.35075378417969, 67.74871826171875, 85.08980560302734, 95.61941528320312, 103.5829925537109, 94.25721740722656, 81.75701141357422, 90.31078338623047, 96.21031188964844, 89.96885681152344, 91.50196838378906]"
color,green
