name,Gas
supplyname,Gas Gate Station
tranname,Regulator Station
demandname,Other
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[142419.7186250518, 159973.91470075448, 166156.90649401088, 135668.5276088087, 154618.13284276624, 168806.79972860793]"
elevation,"[89.66757202148438, 75.78303527832031, 90.63846588134766, 88.15349578857422, 70.08653259277344, 75.6656723022461, 103.2947463989258, 69.463134765625, 92.81430053710938, 100.5024948120117, 94.25721740722656, 89.96885681152344, 81.75701141357422, 96.21031188964844, 90.31078338623047, 91.50196838378906]"
color,green
