name,Power
supplyname,Power Gate Station
tranname,23kv Substation
demandname,12kv Substation
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[26293.879548283887, 23304.815917808584, 12399.630185311746, 18295.858895922738, 30521.071224602027, 29140.06580107411, 21754.92012960205, 14273.818490884663, 35085.860045019086, 24180.342098815556, 32660.216035053818, 5689.479507721122, 26466.10123417693, 28222.319539005468, 31288.036998882435, 33402.62172327918, 27697.530523051588, 24597.36993534141, 22855.156155775054, 30057.127113645216, 30479.471404442058, 20099.65375342553, 27642.46490632586, 27633.6228031912, 22946.414503056425, 22632.843844224943, 23302.634108947834, 16573.251729159867, 22641.38682168764, 26132.799926128588, 35494.24008545137, 28162.61275530418, 16892.245956229082, 29919.47742543082, 25813.813890363814, 27124.957586344997, 25965.887397029117]"
elevation,"[66.99360656738281, 98.17140197753906, 88.36707305908203, 92.79524993896484, 84.40918731689453, 70.28646850585938, 94.82107543945312, 117.4292907714844, 95.82450103759766, 85.23001098632812, 87.29711151123047, 73.95166015625, 84.57763671875, 66.89228820800781, 89.01292419433594, 104.3221435546875, 92.46226501464844, 82.89774322509766, 86.72410583496094, 68.73304748535156, 79.65473937988281, 114.860595703125, 88.10594177246094, 95.22029113769531, 78.86040496826172, 120.1431579589844, 85.93111419677734, 85.44506072998047, 88.46286010742188, 68.80994415283203, 122.5736236572266, 83.46681213378906, 103.5829925537109, 107.6491928100586, 63.46337890625, 83.3139877319336, 83.04390716552734, 88.28096008300781, 76.23211669921875, 72.14061737060547, 89.01292419433594, 128.3880004882812, 107.2673797607422, 79.16568756103516, 74.5992660522461, 120.7061996459961, 77.62855529785156, 112.7097396850586, 107.2053146362305, 91.05177307128906, 71.67915344238281, 119.5057220458984, 95.15796661376953, 80.59698486328125, 95.2966537475586, 84.09870910644531, 89.8248519897461, 104.3221435546875, 101.9564666748047, 102.2091522216797]"
color,red
