name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[0.0, 24740.77836442592, 33686.12978941311, 7847.078379522331, 30225.736029880733, 24836.988707702323, 5233.603045812183, 46150.96533632024, 28634.318746315992, 31837.359671395672, 0.0, 25480.32952191084, 7896.921620477669, 52246.401285339314, 13104.15180335602, 29260.849067233146, 28029.371255159895, 27357.710594154985, 17517.227796885283, 51289.71882675605, 2470.014885024991, 31194.280666171075, 28206.749702234363, 41579.92517246354, 32805.40400885191, 28254.507006116433, 27781.123987723964, 4267.141551633223, 30559.07806983102, 20669.499927301862, 11383.251639327213, 33704.250276968516, 40529.94734109967, 31619.742828938546, 23571.197278355503, 21420.187756796207, 32255.058059100276]"
elevation,"[63.22825241088867, 78.88414764404297, 63.56193161010742, 90.52278900146484, 109.798698425293, 82.57396697998047, 88.72515869140625, 89.69364929199219, 93.6189193725586, 71.5973892211914, 129.0658416748047, 87.05559539794922, 82.3475570678711, 84.8176040649414, 129.5787200927734, 65.91082763671875, 80.20835876464844, 89.01292419433594, 111.6268844604492, 86.6534194946289, 85.95660400390625, 78.89694213867188, 98, 68.17748260498047, 103.9628524780273, 82.75825500488281, 95.11516571044922, 82.86235809326172, 84.92940521240234, 96.37840270996094, 84.6922378540039, 95.15796661376953, 96.26573181152344, 65.91082763671875, 85.35872650146484, 124.3350448608398, 101.2427291870117, 60.39199829101562, 89.66757202148438, 79.67252349853516, 110.1579360961914, 77.96247863769531, 98.28260803222656, 67.11312103271484, 90.94251251220703, 79.91336822509766, 98.44990539550781, 76.23211669921875, 97.90214538574219, 100.5024948120117, 65.54051208496094, 98.6129150390625, 90.0855484008789, 86.65161895751953, 83.80098724365234, 98.91999816894531, 83.82154083251953, 72.99635314941406, 79.97019958496094, 123.7596206665039]"
color,red
