name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[28430.59946832693, 27582.65864496119, 21441.334076550498, 22840.600407237514, 17877.59137148904, 15873.927696441573, 35887.816652864545, 19360.285410941182, 16917.568848871524, 29994.910879583276, 23134.065331164766, 22601.870734214983, 25771.520953735504, 12606.613623901416, 11802.064969491737, 4094.9066034055268, 34794.253040792166, 25583.208006105666, 9493.263272639391, 29238.934035568633, 26298.04677108042, 33567.170099207244, 28012.7074458239, 39329.501110706784, 31416.652710293853, 21029.108655588516, 35035.35303023981, 35779.88240930471, 12527.81730701685, 38972.97700348619, 39970.318732746266, 33642.49737990823, 31613.777725721848, 18623.950951453124, 4864.532405502467, 27389.199325707777, 34242.51290792495]"
elevation,"[70.89645385742188, 88.72515869140625, 116.3335494995117, 85.41455078125, 102.6016235351562, 89.11531829833984, 71.67915344238281, 82.71903991699219, 92.43061065673828, 103.4977188110352, 90.31078338623047, 101.1322402954102, 60.40043640136719, 95.50164031982422, 88.9162826538086, 84.40918731689453, 94.1529541015625, 83, 91.69861602783203, 92.56070709228516, 60.47000122070312, 93.31581115722656, 90.01994323730469, 85.21012115478516, 98.5074691772461, 88.00335693359375, 106.3346710205078, 113.9746780395508, 59.375, 98.34127807617188, 108.2681121826172, 107.2053146362305, 102.3653793334961, 117.4514389038086, 129.127197265625, 92.41014862060547, 63.8621711730957, 104.2473754882812, 60.60616683959961, 74.8348617553711, 92.15802001953125, 62.47897720336914, 94.03270721435547, 77.44755554199219, 75.72025299072266, 79.3683853149414, 75.14202880859375, 95.34043884277344, 80.95663452148438, 80.9740982055664, 112.1284790039062, 130.4503784179688, 81.23321533203125, 93.17584991455078, 87.83121490478516, 76.54216003417969, 108.9929885864258, 66.49443817138672, 83.21049499511719, 100.879150390625]"
color,red
