name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[144855.2336857395, 148243.1808743136, 152316.1584812703, 169750.29161579337, 153474.38463538684, 159004.75070749642]"
elevation,"[84.93040466308594, 94.34747314453125, 88.49552154541016, 63.56193161010742, 92.22705078125, 95.93246459960938, 85.78282165527344, 94.85942840576172, 115.043212890625, 101.9278717041016, 93.76292419433594, 94.25721740722656, 94.19943237304688, 81.75701141357422, 90.31078338623047, 108.2659912109375]"
color,green
