name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[159315.82772419305, 170906.67596671736, 147751.96899851278, 162948.59517463588, 144855.2336857395, 141865.69845020142]"
elevation,"[83.5237045288086, 84.81912994384766, 86.56298828125, 107.0474014282227, 71.67915344238281, 115.1494598388672, 85.17244720458984, 90.01994323730469, 86.6534194946289, 95.42726135253906, 90.31078338623047, 81.75701141357422, 94.19943237304688, 83.6028823852539, 93.76292419433594, 94.25721740722656]"
color,green
