name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[31463.320162995293, 31030.7826065461, 2223.694830460178, 31078.13734723739, 38841.9778354136, 28036.309242040134, 29653.608836344916, 9470.50790442741, 24144.16718413816, 31629.121581723983, 29996.13557651565, 29972.724715296077, 25593.65873379779, 10680.001093987146, 26606.745046092845, 37194.85984023251, 40354.75273569575, 33559.89609591594, 40725.879238685025, 3991.8159851195655, 26369.947744871177, 23558.147440917277, 46929.98870684844, 37487.92908448524, 12397.502299507218, 38555.75685295525, 20912.42424599726, 22154.928583999786, 23686.040939772167, 30995.355764383185, 1.519332808967454, 26548.00382915563, 38587.984962352544, 43210.373619280406]"
elevation,"[85.51821899414062, 99.66693878173828, 92.09366607666016, 65.1584701538086, 105.0865097045898, 94.33189392089844, 104.4639587402344, 119.3977584838867, 81.3707504272461, 109.0532073974609, 83.3139877319336, 107.6625366210938, 75.27442932128906, 77.09346008300781, 88.28096008300781, 90.02320861816406, 85.48336029052734, 65.3138198852539, 81.57343292236328, 110.1579360961914, 90.93717956542969, 68, 102, 89.7790756225586, 80.1550521850586, 94.07455444335938, 93.31428527832031, 96.7087631225586, 104.6507797241211, 76.1407699584961, 103.5829925537109, 96.85052490234375, 115.4630508422852, 80.65392303466797, 64.88660430908203, 72.75167083740234, 78.59162139892578, 111.2744293212891, 94.9385757446289, 92.5818862915039, 78.88414764404297, 79.73526763916016, 92.15802001953125, 74.39666748046875, 75.36957550048828, 66.21121978759766, 107.2844390869141, 89.66757202148438, 90.25759887695312]"
color,blue
