name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[146598.60830228217, 165621.98669426463, 162227.6401152722, 136976.65822993367, 159917.15035238565, 156301.9563058617]"
elevation,"[60.38272857666016, 92.57317352294922, 102.8187408447266, 90.01994323730469, 85.20523834228516, 95.15796661376953, 61.85699844360352, 107.7352676391602, 65.27888488769531, 115.3952331542969, 94.25721740722656, 81.75701141357422, 88.29743194580078, 94.63480377197266, 89.96885681152344, 90.31078338623047]"
color,green
