name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[178070.68508759746, 143909.0585194608, 169745.70705148802, 155895.1932233492, 123085.77510937698, 156937.58100872757]"
elevation,"[101.4325485229492, 88.49552154541016, 59.2803955078125, 95.33393096923828, 60.06399917602539, 103.4525527954102, 96.21031188964844, 65.5214614868164, 117.0554809570312, 80.37606811523438, 85.08980560302734, 94.25721740722656, 84.03461456298828, 90.31078338623047, 93.76292419433594, 92.23977661132812]"
color,green
