name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[153474.38463538684, 148243.1808743136, 144855.2336857395, 169750.29161579337, 152316.1584812703, 159004.75070749642]"
elevation,"[113.6051330566406, 74.94701385498047, 80.71466827392578, 96.86199188232422, 85.48197937011719, 116.8464736938477, 105.2547607421875, 91.290771484375, 92.50637817382812, 65.68362426757812, 90.31078338623047, 94.25721740722656, 93.76292419433594, 81.75701141357422, 94.19943237304688, 108.2659912109375]"
color,green
