name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[6416.413860621864, 25867.446610284966, 38162.08770499178, 42454.872585780555, 41512.691436035246, 26012.717627794995, 40883.754932201795, 27728.902616963394, 31615.72650648577, 9387.066834695212, 37041.798858233036, 15972.360843154129, 44783.49649980395, 44003.7299133291, 0.0, 30939.72378587873, 28787.45862466007, 28829.34736845452, 2425.341826824982, 37089.757329089196, 14289.220167045143, 27458.245063460974, 27694.38216988102, 2250.6581731750175, 36541.780782770045, 45072.08265004616, 31594.094122596496, 5358.034879719362, 7935.439093001841, 23430.647083643344, 11531.775709007501, 18635.318705953654, 33684.570209888, 9661.846419317706, 14527.712218863488, 42446.059488558334, 15617.437297788605]"
elevation,"[92.92574310302734, 82.72259521484375, 108.9227294921875, 91.62178039550781, 88.46910858154297, 88.21559143066406, 65.22676849365234, 79.54296112060547, 81.94464874267578, 103.9798049926758, 66.93630981445312, 103.3734588623047, 97.34429931640625, 88.91520690917969, 99.51127624511719, 69.9986572265625, 93.23606872558594, 84.0421371459961, 60.56321716308594, 89.23214721679688, 95.3828125, 92.50637817382812, 90.32752990722656, 78.72135925292969, 80.1550521850586, 76.23211669921875, 84.43424224853516, 98.28260803222656, 91.70486450195312, 94.04635620117188, 76.99281311035156, 65.07315063476562, 87.29664611816406, 80.59698486328125, 65.63494110107422, 81.23321533203125, 98.65016174316406, 62.91897964477539, 81.57343292236328, 98.0543441772461, 106.120361328125, 61.94200134277344, 101.2802963256836, 115.7909469604492, 84.30439758300781, 92.6253433227539, 67.71721649169922, 86.72636413574219, 108.8954772949219, 89.96885681152344, 89.11531829833984, 87.65834045410156, 103.8036804199219, 94.9198226928711, 116.1225814819336, 99.60428619384766, 92.01995086669922, 59.2803955078125, 105.8269195556641, 89.75397491455078]"
color,red
