name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[167172.18644964753, 170148.74078974727, 142680.934909979, 144768.69039259973, 147522.89592406963, 155350.55153395678]"
elevation,"[93.31428527832031, 94.34747314453125, 93.6112289428711, 83.12641143798828, 86.50165557861328, 83.42991638183594, 73.45234680175781, 91.1103286743164, 82.72259521484375, 95.18903350830078, 108.2659912109375, 81.75701141357422, 94.19943237304688, 93.76292419433594, 94.25721740722656, 90.31078338623047]"
color,green
