name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[36428.84276296967, 26338.24282855497, 26800.56771086007, 21584.759171197726, 29994.570510852027, 31092.362414660034, 18296.461740554932, 14078.834967687118, 32587.863478757765, 18566.12585791133, 2278.76321672488, 34999.89078285997, 35270.746322529, 31682.22967904173, 30822.95028893923, 28158.321906767243, 31542.05444981983, 34088.713467716465, 30235.156295986686, 30381.578750796034, 10183.396906662338, 24744.27130444497, 10514.492838530687, 46531.140004352936, 24802.67809287791, 34180.20369708363, 25279.09657849681, 33553.5498571096, 3976.0019359220887, 20573.21250857059, 35729.71788974655, 2908.953679417922, 7644.012368970004, 25278.073341025454, 32321.55662997631, 42321.82607851759, 1872.7796831078904]"
elevation,"[104.5201721191406, 89.45465850830078, 66.17786407470703, 105.2732772827148, 71.34111785888672, 109.6722259521484, 84.40918731689453, 103.4525527954102, 111.8775634765625, 84.7808609008789, 91.1777114868164, 116.3335494995117, 80.46061706542969, 83.96570587158203, 80.2153091430664, 118.7688369750977, 95.8827896118164, 116.7226943969727, 107.0729293823242, 64.27163696289062, 123.606086730957, 86.56298828125, 87.5723876953125, 100.5392990112305, 76.99281311035156, 96.5479507446289, 63.56193161010742, 108.1539764404297, 83.69719696044922, 92.70665740966797, 75.94482421875, 93.23606872558594, 65.07315063476562, 66.0837631225586, 78.90825653076172, 86.331787109375, 76.84895324707031, 82.44756317138672, 71.56770324707031, 88.06868743896484, 89.46597290039062, 84.40918731689453, 97.17230987548828, 66.01914978027344, 102.6016235351562, 80.46061706542969, 96.85052490234375, 78.59162139892578, 97.6833724975586, 87.71031188964844, 111.9708862304688, 62.4093132019043, 128.5739288330078, 82.86235809326172, 84.96895599365234, 96.02445983886719, 85.93111419677734, 93.81158447265625, 116.4461135864258, 62.88092803955078]"
color,red
