name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[34597.075289163644, 34687.91341581701, 29993.689494154252, 11817.268691747006, 30748.702375025074, 11277.388050011446, 32489.684985464075, 18014.33050878921, 35761.09744200549, 31121.201347336548, 36992.938184456536, 8334.966614126883, 25129.088322733227, 35370.54935498426, 14392.534856315426, 42707.75386022985, 27995.311530878993, 16913.312964869077, 21773.904390933723, 16649.146104113363, 26427.995666441944, 28983.99515328428, 26450.90343148222, 29745.74604623722, 31008.19520194779, 27860.433136941258, 25479.479181465555, 38139.27178791828, 30393.03234610292, 29005.650277098877, 28960.138097581173, 36642.78751561686, 23275.956218720657, 28502.558156005878]"
elevation,"[103.8546752929688, 82.12960052490234, 114.1674957275391, 115.043212890625, 95.3828125, 96.69680786132812, 65.3965835571289, 73.40904235839844, 108.9929885864258, 83.46681213378906, 82.92935943603516, 92.57317352294922, 100.2648086547852, 111.9072799682617, 107.972053527832, 86.11946868896484, 106.6128234863281, 80.49168395996094, 111.7645263671875, 104.1343002319336, 98.6838607788086, 90.63846588134766, 84.60513305664062, 96.58848571777344, 93.89424133300781, 83.81761169433594, 86.91202545166016, 90.80284118652344, 73.65798950195312, 115.7909469604492, 100.2551422119141, 75.31266784667969, 81.33153533935547, 89.80188751220703, 60.64427947998047, 93.50498962402344, 87.44390869140625, 104.3221435546875, 98.15216064453125, 90.0855484008789, 86.88968658447266, 71.85655212402344, 100.6822891235352, 78.90825653076172, 123.7596206665039, 118.7910537719727, 94.24008178710938, 113.513542175293, 93.01373291015625]"
color,blue
