name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[146894.12065666486, 160013.50971074624, 161458.29539932174, 150680.57256999222, 166285.07834804233, 142312.4233152326]"
elevation,"[95.99476623535156, 95.37705993652344, 93.55643463134766, 95.10535430908203, 93.89424133300781, 92.46226501464844, 104.5447616577148, 71.45431518554688, 87.63103485107422, 79.67252349853516, 94.25721740722656, 91.07538604736328, 95.3828125, 90.31078338623047, 91.50196838378906, 94.63480377197266]"
color,green
