name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[167066.41135668248, 139364.78392068588, 152884.59722796467, 161800.11863831736, 159924.13386110932, 146603.95499524032]"
elevation,"[104.2963333129883, 97.11434936523438, 109.8567962646484, 80.65392303466797, 78.47431182861328, 81.23321533203125, 100.1601791381836, 70.34540557861328, 68.09248352050781, 96.5937728881836, 91.50196838378906, 94.63480377197266, 90.31078338623047, 88.29743194580078, 89.96885681152344, 94.25721740722656]"
color,green
