name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[167584.421377054, 162227.6401152722, 155945.49096940097, 145318.7494249551, 149814.99908275655, 146752.6990305611]"
elevation,"[70.28646850585938, 94.16468811035156, 110.1692199707031, 112.5788345336914, 89.55897521972656, 71.22937774658203, 63.31007385253906, 80.9740982055664, 98.20606994628906, 111.9920654296875, 81.75701141357422, 88.29743194580078, 90.31078338623047, 94.39983367919922, 93.05990600585938, 94.25721740722656]"
color,green
