name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[163803.00225107052, 167087.73475163803, 140523.30703883467, 159978.28502655917, 152884.59722796467, 143367.073703933]"
elevation,"[98.44990539550781, 88.5103530883789, 96.95501708984375, 104.1343002319336, 58.76936721801758, 91.85712432861328, 66.23665618896484, 110.4968948364258, 85.15705871582031, 81.5024642944336, 89.96885681152344, 91.50196838378906, 96.21031188964844, 82.89774322509766, 90.31078338623047, 94.25721740722656]"
color,green
