name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[166248.630692294, 155502.60652332017, 146541.32914474484, 156203.2148496199, 142526.8611237302, 160621.3576662909]"
elevation,"[83.49455261230469, 63.86358642578125, 92.9671859741211, 97.4105453491211, 97.59273529052734, 65.8128890991211, 95.64087677001953, 63.86949157714844, 102.1387329101562, 86.8215103149414, 93.93919372558594, 90.31078338623047, 94.25721740722656, 97.52143096923828, 100.7717971801758, 81.75701141357422]"
color,green
