name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[152373.546995251, 158910.107350924, 144855.2336857395, 148133.87031578782, 169896.85701691083, 153474.38463538684]"
elevation,"[75.14301300048828, 101.3498840332031, 94.8521957397461, 62.27145385742188, 90.99890899658203, 82.35989379882812, 117.3570098876953, 94.41462707519531, 84.03461456298828, 95.38614654541016, 108.2659912109375, 94.19943237304688, 93.76292419433594, 94.25721740722656, 81.75701141357422, 90.31078338623047]"
color,green
