name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[158366.72379033847, 156196.70764860563, 139709.74308276604, 166248.630692294, 160621.3576662909, 146500.83711970493]"
elevation,"[83.00128173828125, 74.83297729492188, 109.1662673950195, 94.63480377197266, 90.46481323242188, 73.14075469970703, 120.1278762817383, 72.63301086425781, 67.76902770996094, 93.82559204101562, 89.96885681152344, 90.31078338623047, 100.7717971801758, 93.93919372558594, 81.75701141357422, 94.25721740722656]"
color,green
