name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[28273.591201610205, 24370.764913258015, 27952.379175241167, 6677.378401427838, 18869.670895134623, 26530.12905235952, 37368.9989085987, 36559.78306517152, 33305.089435973605, 30455.699305030892, 25969.465856876584, 30304.678404646074, 42573.20252280694, 17778.840708719013, 31229.89073224252, 12282.560919006235, 14003.968595708982, 22032.602072895726, 37458.69573169256, 32683.01484462568, 26840.507467545503, 29106.271322015145, 9997.946214910908, 38270.9025210303, 30285.137233895337, 31983.05774498391, 40886.12667130753, 41908.37465805591, 33808.461129425516, 4102.216494493738, 17174.544714738073, 29269.624861810986, 31324.98273663031, 26005.44148613041]"
elevation,"[76.72977447509766, 60.39199829101562, 93.78255462646484, 85.1861572265625, 86.66329956054688, 111.0444412231445, 69.84964752197266, 70.34540557861328, 89.94309997558594, 85.44506072998047, 114.6575698852539, 74.16612243652344, 79.5345458984375, 101.8778839111328, 83.6648941040039, 89.8248519897461, 99.58663940429688, 72.99635314941406, 113.0920715332031, 64.49256134033203, 100.3818130493164, 92.00981903076172, 119.601203918457, 102.1719436645508, 88.03595733642578, 79.73526763916016, 78.86040496826172, 85.2865219116211, 97.640380859375, 75.49977111816406, 65.51004028320312, 95.69307708740234, 83.96570587158203, 84.3501968383789, 85.07205200195312, 110.4968948364258, 86.77964782714844, 65.91768646240234, 95.34043884277344, 74.83297729492188, 83.81761169433594, 114.7867431640625, 111.2744293212891, 93.3321533203125, 63.0873908996582, 104.8473205566406, 116.0746307373047, 93.00920104980469, 115.6469573974609]"
color,blue
