name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[148721.0675514252, 168010.74218981597, 151291.45078358968, 147225.78216590628, 141274.19709542644, 171120.7602138366]"
elevation,"[90.89878845214844, 89.95929718017578, 103.2947463989258, 89.01040649414062, 86.77964782714844, 66.23665618896484, 107.284782409668, 87.99305725097656, 114.5746307373047, 84.08094787597656, 94.25721740722656, 98.02313995361328, 79.51825714111328, 90.31078338623047, 83.81761169433594, 91.50196838378906]"
color,green
