name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[35974.36746074447, 9395.677674278333, 33354.297761523, 14048.866000549378, 54450.7153681535, 14467.260845535262, 26419.484569370183, 33313.8939544724, 2336.328622090188, 16287.293154468856, 37238.063121885054, 34428.2077526528, 33641.43656880646, 11855.941718383594, 41399.181564543906, 39219.703574138905, 28010.619417372964, 10786.46430708146, 33982.40272176249, 0.0, 35780.46680629507, 35517.79840978863, 36732.064931366054, 0.0, 7733.1365067810275, 34894.256539199305, 22979.3929554382, 35615.931235723634, 46935.33393827788, 27521.46072670509, 28190.621988552968, 33761.26086532745, 40374.48093345596, 30997.588005275535]"
elevation,"[83.38584899902344, 117.5023651123047, 58.83412551879883, 82.93426513671875, 80.63642120361328, 81.2681884765625, 89.94367980957031, 66.01566314697266, 115.7909469604492, 64.97893524169922, 93.55643463134766, 97.41249084472656, 91.22756958007812, 66.87407684326172, 114.4605178833008, 106.120361328125, 94.59234619140625, 81.32254791259766, 93.6189193725586, 103.3893280029297, 88.8159408569336, 78.58343505859375, 94.04635620117188, 65.94363403320312, 64.00566864013672, 95.040283203125, 71.22937774658203, 98.91039276123047, 73.64822387695312, 100.7095108032227, 118.7910537719727, 89.96885681152344, 83.49284362792969, 73.14075469970703, 68.16402435302734, 96.79705047607422, 81.57343292236328, 74.54058837890625, 67.53589630126953, 104.5109100341797, 87.44390869140625, 64.38510131835938, 83.96111297607422, 106.4785308837891, 76.73247528076172, 85.07173919677734, 107.2673797607422, 84.93315887451172, 97.53785705566406]"
color,blue
