name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[45103.57589031421, 14710.119181312519, 13490.554288094077, 31985.653320312962, 16570.212458769758, 32503.62022671558, 36288.99801702158, 39242.49018960641, 26936.99390002336, 27066.921892106355, 32382.64918464012, 16520.48448029987, 50363.901539459686, 7822.8484130836205, 32968.267465873105, 46599.896091889386, 42111.79100238833, 22923.180550777193, 32537.40299168479, 9500.424820542221, 1372.3857881031392, 2321.1298304853626, 5130.335330546559, 28457.228299578317, 35472.13906358791, 24785.948949722017, 30563.26234564246, 35287.9220394642, 16327.779781361714, 32799.861598655465, 43495.696584107514, 35668.66220575175, 22599.87253244851, 35731.78974562994]"
elevation,"[104.0859298706055, 81.0790786743164, 104.5205612182617, 76.95634460449219, 122.6951675415039, 92.8774185180664, 104.9468307495117, 94.03270721435547, 88.15349578857422, 83.69719696044922, 82.24579620361328, 73.88563537597656, 107.7153015136719, 78.6712417602539, 84.92940521240234, 82.72358703613281, 83.42646026611328, 88.23526763916016, 91.885498046875, 68.93024444580078, 95.15796661376953, 94.3451919555664, 98.22630310058594, 90.73361206054688, 81.6485366821289, 81.01724243164062, 96.15861511230469, 112.5830841064453, 84.57649993896484, 74.11455535888672, 82.75825500488281, 115.4630508422852, 83.96570587158203, 88.16868591308594, 103.9307861328125, 64.90995025634766, 64.37296295166016, 65.5214614868164, 73.4939956665039, 81.75701141357422, 90.80284118652344, 123.606086730957, 89.63301086425781, 85.93111419677734, 89.01292419433594, 89.7608642578125, 97.90214538574219, 101.7726287841797, 121.1611862182617]"
color,blue
