name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[163107.01963335281, 169789.84984602887, 142306.25427158, 146384.71148414927, 149612.99586818606, 156443.16889670305]"
elevation,"[85.4403076171875, 96.90345001220703, 86.09281158447266, 95.88113403320312, 83.4950942993164, 79.97019958496094, 82.89774322509766, 95.08090209960938, 87.75762939453125, 91.35519409179688, 81.75701141357422, 79.6639175415039, 87.75762939453125, 94.25721740722656, 90.31078338623047, 89.96885681152344]"
color,green
