name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[1805.938082194683, 6306.149882229208, 20664.661789994956, 35659.59332952348, 37186.63799680788, 45122.7128680338, 3877.953770193929, 14960.110390349972, 33393.17606844671, 9963.670053141543, 30828.761544524485, 38938.1928565086, 32796.054753784374, 32575.633606689556, 34515.23932248686, 34293.69802603292, 42175.7479145087, 35229.035468399656, 36935.588290545726, 42903.346130557766, 7778.513284325538, 31112.035413479098, 36350.77079171689, 10903.477828215839, 6863.340951769062, 30011.722745297335, 15868.990727852568, 25425.699215387798, 46646.37577689927, 24638.69973300193, 16643.216021368637, 37950.496723091695, 41485.0371480951, 25833.72149454441]"
elevation,"[93.93919372558594, 87.29664611816406, 92.82466888427734, 77.000244140625, 99.1776351928711, 97.43267059326172, 99.9486083984375, 92.32747650146484, 81.0790786743164, 92.2638931274414, 84.93315887451172, 79.79915618896484, 97.2154769897461, 91.22756958007812, 80.20687866210938, 64.64205169677734, 97.2154769897461, 84.35416412353516, 92.2638931274414, 93.90033721923828, 119.8491744995117, 67.54402923583984, 108.3080444335938, 114.1674957275391, 83.15711975097656, 74.94701385498047, 98.34127807617188, 94.04635620117188, 109.9710159301758, 86.79325866699219, 75.14202880859375, 103.1723175048828, 111.2744293212891, 97.11434936523438, 85.29966735839844, 106.1678771972656, 75.38819885253906, 103.3249435424805, 87.31314086914062, 66.19820404052734, 85.07205200195312, 67.74760437011719, 84.16759490966797, 96.21031188964844, 97.79644775390625, 73.88563537597656, 80.81111907958984, 74.54058837890625, 58.83412551879883]"
color,blue
