name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[165223.879875616, 161989.468676296, 138005.09038746037, 165248.07022537256, 156627.25115367788, 140550.23968157716]"
elevation,"[101.5923843383789, 75.36957550048828, 92.95405578613281, 67.54402923583984, 59.14026641845703, 89.85922241210938, 79.73526763916016, 77.23807525634766, 92.74105072021484, 75.7879409790039, 81.75701141357422, 89.96885681152344, 96.21031188964844, 91.50196838378906, 90.31078338623047, 94.25721740722656]"
color,green
