name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[166020.49476140543, 148795.95824129335, 153192.57721840366, 155755.1005248333, 166062.15395594854, 137817.71529811577]"
elevation,"[82.75825500488281, 79.7816162109375, 81.51665496826172, 82.75825500488281, 106.4832229614258, 108.7747497558594, 89.23214721679688, 130.4503784179688, 92.23977661132812, 64.81023406982422, 84.03461456298828, 94.25721740722656, 90.31078338623047, 83.52357482910156, 98.02313995361328, 90.55548858642578]"
color,green
