name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[155159.316612173, 161692.56060065783, 150252.79568916812, 167062.13252216752, 149868.902059877, 143608.29251595648]"
elevation,"[67.7415542602539, 81.47795104980469, 93.43167877197266, 109.3951644897461, 82.72358703613281, 66.2071304321289, 83.38584899902344, 70.02952575683594, 86.66401672363281, 93.2017822265625, 89.96885681152344, 88.29743194580078, 89.2109603881836, 92.22705078125, 90.31078338623047, 94.39983367919922]"
color,green
