name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[146730.57101870741, 159932.05494251713, 157804.28439354448, 145318.7494249551, 163705.88999683858, 154152.45022343725]"
elevation,"[112.7097396850586, 85.07205200195312, 95.3828125, 104.6507797241211, 66.56672668457031, 84.6155014038086, 90.32752990722656, 80.63642120361328, 104.3544540405273, 93.05990600585938, 94.25721740722656, 82.89774322509766, 90.31078338623047, 94.39983367919922, 84.03461456298828, 93.05990600585938]"
color,green
