name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[31986.20674203363, 26684.816920920068, 26891.65707475671, 42423.284887073445, 33099.60002382504, 28435.580760710243, 17053.89866626738, 33315.06721434701, 5260.544774142981, 32914.18601680019, 29508.148339392515, 37787.24329316143, 29957.093904008074, 29516.202522021435, 19797.33157723041, 33691.59422926908, 42855.801470609375, 29036.129776391404, 10252.506092807133, 26791.114709110992, 31778.9811374055, 29647.78546389829, 34263.4486687005, 12064.948517790515, 24883.331226501497, 36505.27801162386, 1.5390978060589942, 41585.13876838716, 26782.366904024657, 8060.353886876753, 37905.48276213667, 10288.23228934693, 24657.459244137564, 41961.6450264855]"
elevation,"[106.4785308837891, 91.07538604736328, 105.2547607421875, 71.39663696289062, 108.3063049316406, 85.51821899414062, 103.3038558959961, 107.6288528442383, 59.63090896606445, 80.20835876464844, 86.50165557861328, 103.1723175048828, 102.2849349975586, 109.8766403198242, 80.1550521850586, 96.65864562988281, 113.513542175293, 98.5147933959961, 86.331787109375, 85.17244720458984, 89.08084106445312, 123.4302520751953, 81.57343292236328, 104.2597351074219, 82.14065551757812, 79.63848876953125, 90.25759887695312, 118.7688369750977, 84.93040466308594, 91.05177307128906, 79.91336822509766, 106.6128234863281, 80.98799133300781, 100.1670227050781, 96.08435821533203, 73.14075469970703, 80.71466827392578, 89.37069702148438, 78.40739440917969, 86.9661865234375, 84.03461456298828, 64.3810806274414, 114.7867431640625, 88.8159408569336, 89.71532440185547, 98.97831726074219, 66.56672668457031, 68.93382263183594, 85.08980560302734]"
color,blue
