name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[166633.64880335875, 146622.74712808346, 164679.90489701577, 139364.78392068588, 150575.56453008112, 159767.350720775]"
elevation,"[87.00989532470703, 59.15644454956055, 114.3712921142578, 60.38272857666016, 116.4461135864258, 123.5125961303711, 86.93900299072266, 60.06399917602539, 78.84528350830078, 79.33454895019531, 91.50196838378906, 94.25721740722656, 89.96885681152344, 94.63480377197266, 90.31078338623047, 88.29743194580078]"
color,green
