name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[148243.1808743136, 152652.6983623348, 145797.81808887178, 155307.4409431153, 158224.89350979903, 167417.9682215655]"
elevation,"[79.67252349853516, 101.962760925293, 68.21835327148438, 78.96095275878906, 98.1191635131836, 85.2865219116211, 70.28646850585938, 136.6715545654297, 83.69719696044922, 89.37069702148438, 94.25721740722656, 94.19943237304688, 93.76292419433594, 90.31078338623047, 108.2659912109375, 84.03461456298828]"
color,green
