name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149730.80373223292, 146789.88710176272, 160580.98434435515, 162941.17533443077, 153152.1162425374, 154452.03324468108]"
elevation,"[87.30906677246094, 92.57317352294922, 94.09367370605469, 63.86949157714844, 64.38890075683594, 79.01596069335938, 106.3114395141602, 101.4325485229492, 95.22029113769531, 88.15349578857422, 91.35409545898438, 94.39983367919922, 95.3828125, 91.50196838378906, 90.31078338623047, 91.2485580444336]"
color,green
