name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[156301.9563058617, 165213.3491833459, 138162.05854542935, 157916.67715165069, 166695.49375251058, 143354.4650612019]"
elevation,"[112.2295379638672, 99.22130584716797, 110.6545028686523, 88.39347839355469, 91.50196838378906, 78.6712417602539, 92.43061065673828, 115.0976181030273, 93.78255462646484, 105.2558975219727, 90.31078338623047, 81.75701141357422, 96.21031188964844, 84.03461456298828, 89.96885681152344, 94.25721740722656]"
color,green
