name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[27492.936847006695, 21752.740059753825, 25716.26489715276, 30958.505490935284, 29372.244583881133, 32556.37064099418, 36905.87257778753, 28800.962791207687, 30583.47129335336, 25657.78013529421, 9159.911752468704, 25486.219864705785, 25040.426447643797, 22674.178743274977, 29152.743508858264, 30499.560380879317, 39583.71463162879, 31358.540128514574, 31473.664540935497, 40798.57677043261, 26726.813171761827, 37036.37341093069, 40747.087512012105, 1.4896236042032736, 34211.79762815503, 31362.80214718924, 31376.90479021468, 3895.492704688746, 31639.314467914646, 0.0, 20090.26426135665, 32365.542146137956, 35032.34516247292, 28133.08688685231]"
elevation,"[112.4758987426758, 88.42414855957031, 90.51066589355469, 79.33454895019531, 76.37033081054688, 66.08594512939453, 66.09325408935547, 92.76241302490234, 109.5076141357422, 82.75825500488281, 85.35872650146484, 89.66757202148438, 105.6915054321289, 85.29966735839844, 74.18276977539062, 65.3965835571289, 93.55643463134766, 60.94126892089844, 97.27339172363281, 92.41014862060547, 103.4525527954102, 77.0042953491211, 91.97073364257812, 112.1284790039062, 83.68351745605469, 98.6838607788086, 96.02345275878906, 78.58343505859375, 118.0376129150391, 70.28646850585938, 123.606086730957, 114.7867431640625, 101.4325485229492, 79.73526763916016, 89.66757202148438, 98.08709716796875, 82.72358703613281, 112.7855834960938, 62.4847297668457, 95.37705993652344, 95.22029113769531, 103.9628524780273, 67.19499969482422, 103.4977188110352, 66.19100189208984, 89.80188751220703, 90.4639663696289, 94.4058609008789, 69.50276947021484]"
color,blue
