name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[161969.7139762597, 165248.07022537256, 150575.56453008112, 165215.68232836394, 146456.45228003108, 138178.51665989167]"
elevation,"[74.71854400634766, 70.89645385742188, 77.61299896240234, 93.76292419433594, 98.08709716796875, 89.68810272216797, 95.99476623535156, 65.07980346679688, 70.28646850585938, 70.86739349365234, 89.96885681152344, 91.50196838378906, 90.31078338623047, 81.75701141357422, 94.25721740722656, 96.21031188964844]"
color,green
