name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[163179.40066787397, 163765.44636879867, 146730.57101870741, 143261.85568759445, 154063.72961855825, 156642.99663846727]"
elevation,"[74.94701385498047, 66.59288787841797, 112.5809020996094, 73.62488555908203, 67.7752685546875, 94.25721740722656, 89.96885681152344, 80.95663452148438, 120.8641815185547, 103.4977188110352, 81.75701141357422, 97.52143096923828, 94.25721740722656, 94.39983367919922, 90.31078338623047, 82.89774322509766]"
color,green
