name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[155952.73675050633, 168022.17791725358, 146752.6990305611, 145318.7494249551, 149797.5182384066, 161800.11863831736]"
elevation,"[96.19295501708984, 67.50643920898438, 73.14075469970703, 108.0237121582031, 112.4518051147461, 85.21012115478516, 108.7133636474609, 76.23091888427734, 110.4885406494141, 62.38039398193359, 90.31078338623047, 81.75701141357422, 94.25721740722656, 94.39983367919922, 93.05990600585938, 88.29743194580078]"
color,green
