name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[32944.535121209956, 7980.913104095848, 27949.172902012557, 49709.69911413571, 11198.153262384354, 32875.3868282583, 19805.589744168672, 30150.821175791647, 33916.38873497217, 36244.89610511283, 23107.276634907277, 34804.03186712147, 22017.722065056874, 32949.51624627469, 31540.408114628302, 35197.145873447946, 31516.656316511067, 3718.512701027111, 2357.226515846541, 16573.30888276053, 3976.8956567522573, 32860.7968751942, 36716.11769973715, 28907.727067779997, 36708.224851693536, 40540.15848738672, 31973.437259259594, 7085.2547270312925, 38942.0218310822, 27463.126834499075, 20322.053906054087, 46314.23992927229, 22899.087804634615, 36377.49575989914]"
elevation,"[103.3893280029297, 99.3897933959961, 90.31078338623047, 99.28561401367188, 110.6545028686523, 98.67851257324219, 58.76936721801758, 87.5322265625, 87.64222717285156, 85.44506072998047, 70.41419982910156, 86.48918914794922, 94.04635620117188, 87.39773559570312, 100.2910385131836, 77.0042953491211, 104.8188705444336, 68.62149810791016, 110.0476760864258, 92.5818862915039, 91.885498046875, 93.96247100830078, 110.1579360961914, 97.19723510742188, 89.08084106445312, 67.7415542602539, 93.81158447265625, 78.9531478881836, 73.81196594238281, 85.20523834228516, 78.47431182861328, 90.63846588134766, 104.0427551269531, 65.15223693847656, 64.2801742553711, 67.10600280761719, 75.72025299072266, 106.2728805541992, 89.63871765136719, 82.75825500488281, 112.7855834960938, 91.80752563476562, 92.9671859741211, 103.5829925537109, 60.97800064086914, 84.09870910644531, 92.81430053710938, 123.606086730957, 101.3498840332031]"
color,blue
