name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[140477.4732501744, 165248.07022537256, 168336.0638370889, 153376.12103843637, 161970.86693280615, 138235.40471612167]"
elevation,"[84.08094787597656, 82.86235809326172, 112.5148010253906, 65.8128890991211, 89.96885681152344, 72.09932708740234, 90.0855484008789, 85.88858795166016, 81.2681884765625, 94.63480377197266, 94.25721740722656, 91.50196838378906, 81.75701141357422, 90.31078338623047, 89.96885681152344, 96.21031188964844]"
color,green
