name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149904.22345770017, 155806.96203712927, 167496.29357184723, 143608.29251595648, 162366.27357632085, 148461.95484104598]"
elevation,"[92.66064453125, 67.69052124023438, 87.09903717041016, 77.00885009765625, 83.52357482910156, 92.23977661132812, 94.0855484008789, 91.50727081298828, 91.2485580444336, 94.8521957397461, 90.31078338623047, 89.96885681152344, 81.75701141357422, 94.39983367919922, 88.29743194580078, 89.2109603881836]"
color,green
