name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[149477.46527354795, 167619.43464148446, 160131.87813620825, 160413.4513793981, 145313.15578187053, 144688.61478749072]"
elevation,"[92.50637817382812, 73.40904235839844, 101.2341613769531, 65.39998626708984, 104.5109100341797, 119.7053375244141, 73.4939956665039, 127.5985641479492, 81.47795104980469, 90.55548858642578, 93.05990600585938, 81.75701141357422, 90.31078338623047, 82.89774322509766, 94.39983367919922, 94.25721740722656]"
color,green
