name,Power
supplyname,Power Plant
tranname,12 or 23kV substation
demandname,Deliver Station
nodenum,60
demandnum,37
trannum,14
supplynum,9
demandseries,"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
transeries,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,5
population_assignment,"[23649.463289880823, 30419.084798371976, 26219.605163899512, 36770.18419439826, 33004.05562646258, 38072.63428604683, 16995.83875517195, 35498.18301985097, 31150.09309987383, 18891.826276433458, 34075.12267459878, 35598.7439106408, 27495.093529289163, 19243.498643746992, 28010.23248599486, 9919.193888320793, 20253.04144883059, 34637.65798328023, 3926.440892386001, 25683.89098197243, 39923.75141721321, 31925.21836209203, 27014.8593739481, 9369.341881297065, 13142.467803351361, 3833.559107613999, 28914.05290260748, 31335.67983304163, 25605.56499436683, 32372.46123302441, 18533.37467117996, 34605.47013832607, 1582.5314093492675, 30059.419535142617, 22917.118493893515, 35738.56290269757, 11256.68099140407]"
elevation,"[109.82080078125, 65.24297332763672, 116.7226943969727, 112.7097396850586, 95.99476623535156, 103.2081832885742, 108.0237121582031, 60.50600051879883, 91.4797592163086, 93.6189193725586, 97.52660369873047, 82.57396697998047, 64.25841522216797, 95.47906494140625, 62.17653656005859, 83.4950942993164, 65.1584701538086, 94.70497131347656, 116.1438598632812, 102.1719436645508, 82.93426513671875, 77.0042953491211, 83.06501007080078, 72.78966522216797, 118.8857040405273, 101.3780899047852, 73.81196594238281, 93.89424133300781, 103.2384567260742, 112.0970306396484, 95.15846252441406, 91.98519134521484, 81.54788970947266, 83.52357482910156, 92.75720977783203, 91.69658660888672, 87.29711151123047, 76.82320404052734, 103.9307861328125, 77.97451782226562, 93.17584991455078, 62.17653656005859, 91.22756958007812, 88.45304107666016, 108.3063049316406, 95.64087677001953, 81.56317901611328, 113.6051330566406, 70.01312255859375, 99.72673034667969, 74.8348617553711, 121.1611862182617, 111.2744293212891, 103.8036804199219, 91.885498046875, 99.1925277709961, 81.01724243164062, 105.4188995361328, 98.28260803222656, 108.0188980102539]"
color,red
