name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[162227.6401152722, 167584.421377054, 146752.6990305611, 149814.99908275655, 155945.49096940097, 145318.7494249551]"
elevation,"[103.7349700927734, 101.2719039916992, 79.3683853149414, 87.00989532470703, 123.2905197143555, 75.61711883544922, 90.77933502197266, 96.47638702392578, 89.31659698486328, 104.3489990234375, 88.29743194580078, 81.75701141357422, 94.25721740722656, 93.05990600585938, 90.31078338623047, 94.39983367919922]"
color,green
