name,Water
supplyname,Pumping Station
tranname,Storage Tank
demandname,Deliver Station
nodenum,49
demandnum,34
trannum,6
supplynum,9
demandseries,"[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
transeries,"[9, 10, 11, 12, 13, 14]"
supplyseries,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
edgediameter,0.6
population_assignment,"[10321.316201509859, 35107.36993145098, 29649.67785085981, 19030.332315069685, 7143.243874399933, 25713.893768665803, 27239.535812248094, 36047.46502196068, 24212.950985921892, 22912.509117586498, 31690.168040300377, 37029.50083034755, 36743.66186540044, 37490.46493316162, 33893.7405940559, 36168.94750642759, 32166.699541814785, 12565.065608926574, 24286.665654199634, 27933.209497673462, 43772.01189406719, 16498.91692915342, 23384.088494781266, 40055.43544779645, 6900.1989338050225, 23580.74295592338, 38932.80094942019, 28010.347576623026, 29560.340816382304, 29892.65877439829, 30339.71045132635, 38123.53793488803, 28141.100301911956, 3105.689587541929]"
elevation,"[77.07868957519531, 83.404296875, 88.36710357666016, 66.99360656738281, 79.44637298583984, 104.3221435546875, 74.23733520507812, 90.77335357666016, 66.95014953613281, 122.1984024047852, 78.47612762451172, 95.15846252441406, 86.48918914794922, 100.9400100708008, 71.22937774658203, 111.8077087402344, 59.15644454956055, 97.43267059326172, 65.39998626708984, 69.68327331542969, 94.60116577148438, 77.38270568847656, 94.03607177734375, 91.49018096923828, 99.9486083984375, 79.24876403808594, 80.46858978271484, 114.7867431640625, 85.44506072998047, 92.75720977783203, 103.3893280029297, 91.50196838378906, 92.82466888427734, 90.185302734375, 87.01199340820312, 92.79524993896484, 87.64222717285156, 87.41356658935547, 114.1827545166016, 60.72309875488281, 109.0436401367188, 88.36351776123047, 90.22052764892578, 116.4461135864258, 79.66846466064453, 91.11550903320312, 83.59007263183594, 107.7153015136719, 113.8662033081055]"
color,blue
