name,Gas
supplyname,Gas Pumping Station
tranname,Intermediate Station
demandname,Deliver Station
nodenum,16
demandnum,6
trannum,7
supplynum,3
demandseries,"[10, 11, 12, 13, 14, 15]"
transeries,"[3, 4, 5, 6, 7, 8, 9]"
supplyseries,"[0, 1, 2]"
edgediameter,0.7
population_assignment,"[166314.03371507913, 155815.8649710421, 152199.98074791074, 158175.0331035797, 171863.05756615734, 123276.02989623105]"
elevation,"[84.6155014038086, 81.57343292236328, 99.81002044677734, 79.66846466064453, 102.1719436645508, 96.69680786132812, 89.96885681152344, 101.2341613769531, 103.8036804199219, 88.803466796875, 103.9628524780273, 102.3653793334961, 95.15846252441406, 90.31078338623047, 84.03461456298828, 93.76292419433594]"
color,green
